,en,it,ja,de,nl,fr,es,sl
H,0.09432739059967585,0.09865005192107996,0.12286268288383571,0.07389830508474576,0.07582032494424976,0.10437601296596434,0.17193936398088647,0.07167293876154636
A,0.0624263839811543,0.08333333333333333,0.11895910780669144,0.061224489795918366,0.08174386920980926,0.08811594202898551,0.15426105717367852,0.05108750632271118
N,0.08554189944134079,0.08893768250447065,0.12054489583585376,0.053933258842953156,0.07205320033250208,0.09064604185623294,0.1494266461756709,0.06111217066724791
P,0.00017003910899506886,0.00909090909090909,,0.0,0.00423728813559322,0.0,0.006375227686703097,0.004347826086956522
PER,0.01522140221402214,0.026471148352694724,0.054677488252883384,0.015600966820479015,0.020854355869492094,0.039673024523160766,0.05012864138102747,0.02726310217046056
