,en,it,ja,de,nl,fr,es,sl
PER,1.6239193083573487,1.1453838678328474,1.0111972437553833,0.7270318021201413,1.4842832469775475,1.777382803821373,1.937818637693272,1.7130858845841235
ORG,1.7610033128253668,0.8824921135646687,0.4582798459563543,0.6747456059204441,1.2592778335005015,1.1754473161033798,1.684772065955383,1.0684684684684684
LOC,1.180952380952381,1.0248291571753987,0.506896551724138,0.8542775276299631,0.7178130511463845,1.1702438476233286,1.5328069185937205,0.9825613079019073
MISC,,1.0005694760820045,,0.7298299845440495,,1.2727957799547853,1.643305439330544,0.6931464174454829
O,1.2893982808022924,1.1893687707641196,0.4798387096774194,0.7077896401739818,0.9046594982078853,1.7115072933549433,1.7723577235772359,0.6303030303030303
