,en,it,ja,de,nl,fr,es,sl
PER,0.01429889298892989,0.026280708436488286,0.054677488252883384,0.008349813227862008,0.020854355869492094,0.039673024523160766,0.026226242841729603,0.02726310217046056
H,0.09432739059967585,0.0985202492211838,0.12286268288383571,0.037694915254237286,0.07582032494424976,0.10437601296596434,0.08988301202834074,0.07098871022921656
A,0.0624263839811543,0.08333333333333333,0.11771995043370508,0.030612244897959183,0.08174386920980926,0.08811594202898551,0.08306364617044229,0.05058168942842691
N,0.08505027932960894,0.08877922901057111,0.1200851702194585,0.028217400730450443,0.07198669991687448,0.09055505004549591,0.08946092918784726,0.06029479879028962
P,0.00017003910899506886,0.00909090909090909,,0.0,0.00423728813559322,0.0,0.0036429872495446266,0.004347826086956522
